"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 22 15:57:33 CST 2023","Wed Feb 22 15:58:00 CST 2023","26923","TestCases.test_03product","test_05selection_documentation","TestSelectionDocumentation","","","test_SelectionDocumentation",""
"broken","Wed Feb 22 15:58:00 CST 2023","Wed Feb 22 15:58:13 CST 2023","13096","TestCases.test_03product","test_06product_management","TestProductManagement","","","test_productManagement",""
"passed","Wed Feb 22 15:56:13 CST 2023","Wed Feb 22 15:56:24 CST 2023","10437","TestCases.test_03product","test_02custom_category","TestCustomCategory","","","test_CustomCategory",""
"passed","Wed Feb 22 15:55:45 CST 2023","Wed Feb 22 15:56:13 CST 2023","28056","TestCases.test_03product","test_01operate_product","TestOperateProduct","","","运营产品_编辑",""
"passed","Wed Feb 22 15:54:38 CST 2023","Wed Feb 22 15:55:06 CST 2023","28797","TestCases.test_01message","test_message","TestMessage","","","存为草稿_查询_删除",""
"passed","Wed Feb 22 15:56:31 CST 2023","Wed Feb 22 15:57:33 CST 2023","61621","TestCases.test_03product","test_04product_devlop","TestProductDevlop","","","test_productDevlop",""
"passed","Wed Feb 22 15:56:24 CST 2023","Wed Feb 22 15:56:31 CST 2023","7330","TestCases.test_03product","test_03product_inventory","TestProductCategory","","","产品库存查询",""
"passed","Wed Feb 22 15:54:27 CST 2023","Wed Feb 22 15:54:38 CST 2023","10091","TestCases.test_00_login","test_login","TestLogin","","","test_login",""
"passed","Wed Feb 22 15:55:06 CST 2023","Wed Feb 22 15:55:35 CST 2023","28854","TestCases.test_02colleague","test_colleague","TestColleague","","","同事_团队",""
"passed","Wed Feb 22 15:55:35 CST 2023","Wed Feb 22 15:55:45 CST 2023","10172","TestCases.test_03product","test_00product_category","TestProductCategory","","","产品类目增加查询编辑",""
